date,product_id,quantity_sold,revenue,orders,product_name,category
2025-12-26,P001,5,63.0,3,Everyday Coffee,Grocery
2025-12-26,P002,10,62.95,5,Organic Cereal,Grocery
2025-12-26,P003,7,124.38,3,Cotton T-Shirt,Apparel
2025-12-26,P004,2,151.98,2,Running Shoes,Footwear
2025-12-26,P005,18,594.82,10,Desk Lamp,Home
2025-12-26,P006,12,288.63,4,Wireless Mouse,Electronics
2025-12-26,P007,2,56.98,2,Yoga Mat,Fitness
2025-12-26,P008,7,98.93,4,Water Bottle,Fitness
2025-12-27,P001,9,111.71,4,Everyday Coffee,Grocery
2025-12-27,P002,8,51.27,4,Organic Cereal,Grocery
2025-12-27,P003,14,255.41,4,Cotton T-Shirt,Apparel
2025-12-27,P004,8,639.92,2,Running Shoes,Footwear
2025-12-27,P005,10,349.90000000000003,5,Desk Lamp,Home
2025-12-27,P006,8,199.92,4,Wireless Mouse,Electronics
2025-12-27,P007,8,239.92,3,Yoga Mat,Fitness
2025-12-27,P008,9,128.16,3,Water Bottle,Fitness
2025-12-28,P001,10,129.9,3,Everyday Coffee,Grocery
2025-12-28,P002,7,45.43000000000001,3,Organic Cereal,Grocery
2025-12-28,P003,9,152.86,4,Cotton T-Shirt,Apparel
2025-12-28,P004,9,687.91,4,Running Shoes,Footwear
2025-12-28,P005,4,139.96,3,Desk Lamp,Home
2025-12-28,P006,4,93.71,2,Wireless Mouse,Electronics
2025-12-28,P007,1,29.99,1,Yoga Mat,Fitness
2025-12-28,P008,18,266.07,7,Water Bottle,Fitness
2025-12-29,P001,6,77.94,2,Everyday Coffee,Grocery
2025-12-29,P002,1,5.84,1,Organic Cereal,Grocery
2025-12-29,P003,13,245.92,6,Cotton T-Shirt,Apparel
2025-12-29,P004,9,719.91,3,Running Shoes,Footwear
2025-12-29,P005,8,276.42,4,Desk Lamp,Home
2025-12-29,P006,3,72.47,3,Wireless Mouse,Electronics
2025-12-29,P007,8,233.92,3,Yoga Mat,Fitness
2025-12-29,P008,1,14.99,1,Water Bottle,Fitness
2025-12-30,P001,3,38.97,2,Everyday Coffee,Grocery
2025-12-30,P002,12,76.58,5,Organic Cereal,Grocery
2025-12-30,P004,5,399.95,1,Running Shoes,Footwear
2025-12-30,P005,9,309.65999999999997,3,Desk Lamp,Home
2025-12-30,P006,8,191.17,4,Wireless Mouse,Electronics
2025-12-30,P007,5,149.95,2,Yoga Mat,Fitness
2025-12-30,P008,10,143.9,5,Water Bottle,Fitness
2025-12-31,P001,12,153.93,7,Everyday Coffee,Grocery
2025-12-31,P002,2,11.68,2,Organic Cereal,Grocery
2025-12-31,P003,11,195.58999999999997,7,Cotton T-Shirt,Apparel
2025-12-31,P004,5,399.95,2,Running Shoes,Footwear
2025-12-31,P005,2,68.23,2,Desk Lamp,Home
2025-12-31,P006,7,167.43,3,Wireless Mouse,Electronics
2025-12-31,P007,10,283.4,4,Yoga Mat,Fitness
2026-01-01,P001,4,50.66,3,Everyday Coffee,Grocery
2026-01-01,P002,9,56.79,5,Organic Cereal,Grocery
2026-01-01,P003,7,123.42999999999999,4,Cotton T-Shirt,Apparel
2026-01-01,P004,6,423.95000000000005,3,Running Shoes,Footwear
2026-01-01,P005,2,69.98,1,Desk Lamp,Home
2026-01-01,P006,4,97.46,2,Wireless Mouse,Electronics
2026-01-01,P007,8,236.92,3,Yoga Mat,Fitness
2026-01-01,P008,7,101.18,3,Water Bottle,Fitness
2026-01-02,P001,3,35.72,2,Everyday Coffee,Grocery
2026-01-02,P002,2,11.03,1,Organic Cereal,Grocery
2026-01-02,P003,3,56.97,1,Cotton T-Shirt,Apparel
2026-01-02,P004,7,543.93,3,Running Shoes,Footwear
2026-01-02,P005,2,69.98,1,Desk Lamp,Home
2026-01-02,P006,6,138.69,4,Wireless Mouse,Electronics
